id	color	label	x	y
0	black	i0	0.601254257333	0.123779562828
1	black	i1	0.948742583726	0.844467410804
2	black	i2	0.990086279394	0.562453231519
3	black	i3	0.0212882827241	0.42779756734
4	black	i4	0.236521249944	0.0222142711766
5	black	i5	0.151607666279	0.99103254225
6	black	i6	0.056377064768	0.694186321531
7	black	i7	0.363282488275	0.926207716168
8	black	i8	0.777769064521	0.528039070524
9	black	i9	0.159508952342	0.716183035411
10	black	i10	0.838134727207	0.487027543736
11	black	i11	0.576395624341	0.168782433701
12	black	i12	0.623531874511	0.15547584751
13	black	i13	0.258888889883	0.552049815004
14	black	i14	0.831969829758	0.209053632623
15	black	i15	0.385784462247	0.0200574003492
16	black	i16	0.063972135012	0.234725994368
17	black	i17	0.500904259348	0.527643179259
18	black	i18	0.0867203767396	0.206357384616
19	black	i19	0.41049175501	0.0484395736816
20	black	i20	0.358664693633	0.682472768107
21	black	i21	0.755390969149	0.930908557751
22	black	i22	0.607581911778	0.0819042372103
23	black	i23	0.0388625271669	0.56619964617
24	black	i24	0.357557308801	0.268963194649
25	black	i25	0.984628383867	0.714297845254
26	black	i26	0.418395483926	0.00551433233465
27	black	i27	0.197946467163	0.871609262114
28	black	i28	0.387464140312	0.313986457367
29	black	i29	0.53663917761	0.19222466666
30	black	i30	0.593317256574	0.462957942792
31	black	i31	0.0844163911662	0.669137557786
32	black	i32	0.387917432521	0.362719770238
33	black	i33	0.29986391208	0.249211681457
34	black	i34	0.340283583854	0.714262339839
35	black	i35	0.752779448957	0.423773889088
36	black	i36	0.964431405177	0.695878319248
37	black	i37	0.532650478786	0.295986575932
38	black	i38	0.234532126136	0.765810218817
39	black	i39	0.0261902872193	0.0375840835448
40	black	i40	0.678377446526	0.820026622616
41	black	i41	0.396575785898	0.461500350958
42	black	i42	0.465677803444	0.311432204016
43	black	i43	0.108511029138	0.452979574772
44	black	i44	0.601057591944	0.489418088132
45	black	i45	0.438356485621	0.385361274914
46	black	i46	0.798403856802	0.91807170983
47	black	i47	0.196889448382	0.986091913806
48	black	i48	0.0458965458952	0.467507239101
49	black	i49	0.76132629061	0.581179205656
50	black	i50	0.948645358192	0.451882010244
51	black	i51	0.927676086355	0.56580267373
52	black	i52	0.0107523113018	0.236586100599
53	black	i53	0.332997754649	0.105698417941
54	black	i54	0.821394557545	0.48136716905
55	black	i55	0.317877864602	0.735748540238
56	black	i56	0.00196090684644	0.811505262437
57	black	i57	0.641018706977	0.634343024782
58	black	i58	0.862860370267	0.666216096974
59	black	i59	0.048926415708	0.0943523454658
60	black	i60	0.0817564563155	0.558399929729
61	black	i61	0.896307513904	0.602411759296
62	black	i62	0.182407900446	0.844787850893
63	black	i63	0.84684800765	0.432298540791
64	black	i64	0.0199754904439	0.670149564131
65	black	i65	0.921472165299	0.298371640473
66	black	i66	0.00881545143563	0.725193263596
67	black	i67	0.363405388845	0.684248139608
68	black	i68	0.723754645896	0.153100032472
69	black	i69	0.643823036179	0.639592986665
70	black	i70	0.610976533426	0.32523864977
71	black	i71	0.297486554088	0.589095296466
72	black	i72	0.710148447056	0.525066434073
73	black	i73	0.792476731564	0.132580178656
74	black	i74	0.526102297177	0.808818239512
75	black	i75	0.921052803593	0.585817456776
76	black	i76	0.0732111992531	0.816172336606
77	black	i77	0.639906011697	0.295694538891
78	black	i78	0.622497671293	0.740199726441
79	black	i79	0.144977158335	0.745320397266
80	black	i80	0.468715175985	0.105885226665
81	black	i81	0.633349492132	0.312494308811
82	black	i82	0.81055705199	0.17969707571
83	black	i83	0.795700021339	0.510779057274
84	black	i84	0.445306556887	0.132932106195
85	black	i85	0.297016060616	0.415696667745
86	black	i86	0.429413414247	0.432944740654
87	black	i87	0.415792515566	0.508352468725
88	black	i88	0.0593236836794	0.994559414507
89	black	i89	0.771366058635	0.18418298927
90	black	i90	0.665201054071	0.55461723291
91	black	i91	0.0449815328221	0.511935406502
92	black	i92	0.942868022704	0.8975189063
93	black	i93	0.685558889153	0.348658110696
94	black	i94	0.575648947652	0.220264990078
95	black	i95	0.768417794516	0.887940074883
96	black	i96	0.00226782713598	0.0436650639231
97	black	i97	0.204000876338	0.605992689064
98	black	i98	0.759074582027	0.477118074029
99	black	i99	0.9372401452	0.525025035675
